FID,Object_ID,POINT_X,POINT_Y,Easting,Northing,Date_,DDLat,DDLon,ORIG_OID,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y
0,BMT1U1,-79.075299999999999,37.920299999999997,669158,4198498,18-Jun-12,37.92029249N,079.07529714W,0,136612,0.001628217117140,-79.076832269099995,37.919749851100001
1,BMT1U2,-79.072100000000006,37.920360000000002,669436,4198510,18-Jun-12,37.92035249N,079.07209714W,1,136612,0.004773327005480,-79.076832269099995,37.919749851100001
2,BRC1DS,-78.702200000000005,38.259000000000000,701023,4236828,13-Jun-12,38.25899241N,078.70219723W,2,126972,0.000099321987826,-78.702240895000003,38.258903198299997
3,BRC1DS,-78.702200000000005,38.259000000000000,701023,4236828,25-Jul-12,38.25899241N,078.70219723W,3,126972,0.000099321987826,-78.702240895000003,38.258903198299997
4,BRC1EL,-78.701700000000002,38.258809999999997,701070,4236808,13-Jun-12,38.25880241N,078.70169723W,4,126972,0.000310366216236,-78.701964892099994,38.258645295599997
5,BRC1EL,-78.701700000000002,38.258809999999997,701070,4236808,11-Jul-12,38.25880241N,078.70169723W,5,126972,0.000310366216236,-78.701964892099994,38.258645295599997
6,BRC1WL,-78.701700000000002,38.258609999999997,701070,4236786,13-Jun-12,38.25860241N,078.70169723W,6,126972,0.000239383333044,-78.701931338300000,38.258552432199998
7,BRC1WL,-78.701700000000002,38.258609999999997,701070,4236786,11-Jul-12,38.25860241N,078.70169723W,7,126972,0.000239383333044,-78.701931338300000,38.258552432199998
8,BRC4ML,-78.702200000000005,38.261429999999997,701014,4237098,11-Jul-12,38.26142241N,078.70219723W,8,126867,0.000025916617178,-78.702179778800001,38.261403245200000
9,BRC4TL,-78.702100000000002,38.261290000000002,701024,4237082,11-Jul-12,38.26128241N,078.70209723W,9,126867,0.000143877368795,-78.702200047600002,38.261383049899997
10,CCC1ML,-78.333299999999994,38.601610000000001,732208,4275720,23-Jul-12,38.60160232N,078.33329732W,10,118208,0.000121144696483,-78.333355409299998,38.601496013199998
11,CCC1TL,-78.332899999999995,38.601599999999998,732236,4275720,23-Jul-12,38.60159232N,078.33289732W,11,118185,0.000206638476284,-78.332759465899997,38.601438390900000
12,FireRoadSite,-78.422300000000007,38.533299999999997,724662,4267917,22-Jun-12,38.53329234N,078.42229730W,12,119928,0.006999964380510,-78.427887892200005,38.537504793899998
13,HRC2EL,-78.316699999999997,38.607979999999998,733633,4276469,11-Jun-12,38.60797232N,078.31669733W,13,118374,0.000120599976837,-78.316580374500006,38.607942883200003
14,HRC2EU,-78.314599999999999,38.608570000000000,733814,4276540,11-Jun-12,38.60856232N,078.31459733W,14,117964,0.000186931878006,-78.314610015400007,38.608375820600003
15,HRC2WL,-78.316699999999997,38.607840000000003,733629,4276454,11-Jun-12,38.60783232N,078.31669733W,15,118374,0.000091841445190,-78.316607078700002,38.607815285699999
16,HRC2WU,-78.316900000000004,38.609690000000001,733609,4276659,11-Jun-12,38.60968232N,078.31689733W,16,117963,0.000011098953246,-78.316886235200002,38.609682741299999
17,HRMC1,-78.311000000000007,38.584650000000003,734203,4273894,10-Jul-12,38.58464233N,078.31099733W,17,118509,0.000023959556037,-78.311018356600002,38.584630840099997
18,HRMC2,-78.313100000000006,38.587359999999997,734011,4274190,10-Jul-12,38.58735233N,078.31309733W,18,118509,0.000033589370666,-78.313130391000001,38.587346398299999
